기간	자치구	동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상+
2021	성북구	삼선동	계	22,845.5	402	676.5	831	1,008.5	2,003	2,209.5	1,713.5	1,537.5	1,534	1,962.5	1,987	1,599	1,576.5	1,117.5	921.5	832.5	582	252	79.5	17	3
2021	성북구	삼선동	남자	10,906	217	342.5	433	525.5	846	1,048	844.5	757.5	754.5	956	1,020	770.5	780.5	526.5	385	356.5	216	99	20	6.5	1
2021	성북구	삼선동	여자	11,939.5	185	334	398	483	1,157	1,161.5	869	780	779.5	1,006.5	967	828.5	796	591	536.5	476	366	153	59.5	10.5	2
2021	성북구	동선동	계	15,238	226.5	327	354.5	573.5	2,214.5	2,293.5	1,443.5	1,037.5	933	1,001.5	1,051	834.5	807.5	618	516.5	483	318	138	50.5	12	4
2021	성북구	동선동	남자	6,406	113.5	156	159.5	247	544	925	627	512.5	448	476	525	413	364.5	279	230	195.5	125.5	45.5	16.5	2.5	0.5
2021	성북구	동선동	여자	8,832	113	171	195	326.5	1,670.5	1,368.5	816.5	525	485	525.5	526	421.5	443	339	286.5	287.5	192.5	92.5	34	9.5	3.5
2021	성북구	종암동	계	38,820.5	1,042.5	1,565.5	1,713.5	1,899.5	2,676.5	3,005	2,398.5	2,682	2,878.5	3,380.5	3,364	2,880.5	2,803.5	1,985.5	1,542	1,284	976	510.5	186.5	41	5
2021	성북구	종암동	남자	19,208	526.5	818.5	944.5	1,028	1,319.5	1,679.5	1,224.5	1,342	1,408	1,676	1,686	1,419	1,386	906.5	673	542	386	174	55.5	11.5	1.5
2021	성북구	종암동	여자	19,612.5	516	747	769	871.5	1,357	1,325.5	1,174	1,340	1,470.5	1,704.5	1,678	1,461.5	1,417.5	1,079	869	742	590	336.5	131	29.5	3.5
2021	성북구	석관동	계	34,905	912	1,047.5	991.5	1,167	2,251	2,871	2,417	2,492	2,347	2,629	2,889	2,953	2,998	2,325.5	1,784.5	1,429	909.5	360	109.5	20	2
2021	성북구	석관동	남자	17,263.5	466.5	533	520	629.5	1,049	1,469.5	1,242.5	1,293.5	1,240	1,362.5	1,421.5	1,454	1,457.5	1,121.5	797.5	653	387	133.5	28	3	1
2021	성북구	석관동	여자	17,641.5	445.5	514.5	471.5	537.5	1,202	1,401.5	1,174.5	1,198.5	1,107	1,266.5	1,467.5	1,499	1,540.5	1,204	987	776	522.5	226.5	81.5	17	1
2021	강북구	소계	계	299,248.5	6,153	8,763	9,864.5	11,474.5	18,944.5	22,769.5	18,435.5	19,124.5	20,562.5	23,953.5	26,172	24,941.5	25,553	20,093.5	16,109.5	13,136	8,269.5	3,524.5	1,116.5	256	31.5
2021	강북구	소계	남자	145,728.5	3,179	4,550.5	5,072	5,885.5	8,926.5	11,505.5	9,614	10,081.5	10,712.5	12,139.5	12,882.5	12,171	12,090.5	9,227.5	6,993.5	5,620.5	3,413.5	1,292.5	302.5	61.5	6.5
2021	강북구	소계	여자	153,520	2,974	4,212.5	4,792.5	5,589	10,018	11,264	8,821.5	9,043	9,850	11,814	13,289.5	12,770.5	13,462.5	10,866	9,116	7,515.5	4,856	2,232	814	194.5	25
2021	강북구	번1동	계	18,417.5	289.5	356.5	425	618	1,324	1,853	1,419	1,283.5	1,306.5	1,473	1,537.5	1,488.5	1,512.5	1,108.5	960	753.5	442	196	54.5	16	0.5
2021	강북구	번1동	남자	9,269.5	155	185	209	335.5	594.5	952.5	783.5	682	722	765	817.5	750	742	510.5	438.5	336	200	70.5	14	6.5	-
2021	강북구	번1동	여자	9,148	134.5	171.5	216	282.5	729.5	900.5	635.5	601.5	584.5	708	720	738.5	770.5	598	521.5	417.5	242	125.5	40.5	9.5	0.5
2021	강북구	번2동	계	15,969	267	384.5	456.5	576	975.5	1,183	813	925	1,015	1,274.5	1,350	1,357	1,455.5	1,188	1,083	878	515	196	57.5	17	2
2021	강북구	번2동	남자	7,729.5	143	206	241	300.5	510	618.5	432.5	514.5	535.5	630.5	672.5	652.5	687.5	524	423.5	359	195	66.5	14	3	-
